brand;model;year_from;year_to;description;is_popular;country
Acura;CL;;;;1;Japan
Acura;EL;;;;1;Japan
Acura;ILX;;;;1;Japan
Acura;Integra;;;;1;Japan
Acura;MDX;;;;1;Japan
Acura;NSX;;;;1;Japan
Acura;RDX;;;;1;Japan
Acura;RL;;;;1;Japan
Acura;RLX;;;;1;Japan
Acura;RSX;;;;1;Japan
Acura;TL;;;;1;Japan
Acura;TLX;;;;1;Japan
Acura;TLX-L;;;;1;Japan
Acura;TSX;;;;1;Japan
Acura;ZDX;;;;1;Japan
"Alfa Romeo";146;;;;1;Italy
"Alfa Romeo";147;;;;1;Italy
"Alfa Romeo";"147 GTA";;;;1;Italy
"Alfa Romeo";156;;;;1;Italy
"Alfa Romeo";"156 GTA";;;;1;Italy
"Alfa Romeo";159;;;;1;Italy
"Alfa Romeo";166;;;;1;Italy
"Alfa Romeo";4C;;;;1;Italy
"Alfa Romeo";"8C Competizione";;;;1;Italy
"Alfa Romeo";Brera;;;;1;Italy
"Alfa Romeo";Giulia;;;;1;Italy
"Alfa Romeo";Giulietta;;;;1;Italy
"Alfa Romeo";GT;;;;1;Italy
"Alfa Romeo";GTV;;;;1;Italy
"Alfa Romeo";MiTo;;;;1;Italy
"Alfa Romeo";Spider;;;;1;Italy
"Alfa Romeo";Stelvio;;;;1;Italy
"Alfa Romeo";Tonale;;;;1;Italy
"Aston Martin";Cygnet;;;;1;UK
"Aston Martin";DB11;;;;1;UK
"Aston Martin";DB12;;;;1;UK
"Aston Martin";DB9;;;;1;UK
"Aston Martin";DBS;;;;1;UK
"Aston Martin";"DBS 770 Ultimate";;;;1;UK
"Aston Martin";"DBS Superleggera";;;;1;UK
"Aston Martin";"DBS Violante";;;;1;UK
"Aston Martin";DBX;;;;1;UK
"Aston Martin";Rapide;;;;1;UK
"Aston Martin";"V12 Vanquish";;;;1;UK
"Aston Martin";"V12 Vantage";;;;1;UK
"Aston Martin";"V8 Vantage";;;;1;UK
"Aston Martin";Valkyrie;;;;1;UK
"Aston Martin";Valour;;;;1;UK
"Aston Martin";Vanquish;;;;1;UK
"Aston Martin";Vantage;;;;1;UK
"Aston Martin";Virage;;;;1;UK
"Aston Martin";"Zagato Coupe";;;;1;UK
Audi;A1;;;;1;Germany
Audi;"A1 Allstreet";;;;1;Germany
Audi;"A1 Citycarver";;;;1;Germany
Audi;A2;;;;1;Germany
Audi;A3;;;;1;Germany
Audi;"A3 Allstreet";;;;1;Germany
Audi;A4;;;;1;Germany
Audi;"A4 Allroad Quattro";;;;1;Germany
Audi;A5;;;;1;Germany
Audi;A6;;;;1;Germany
Audi;A7;;;;1;Germany
Audi;A8;;;;1;Germany
Audi;Allroad;;;;1;Germany
Audi;e-tron;;;;1;Germany
Audi;"e-tron GT";;;;1;Germany
Audi;"e-tron S";;;;1;Germany
Audi;"e-tron S Sportback";;;;1;Germany
Audi;"e-tron Sportback";;;;1;Germany
Audi;Q2;;;;1;Germany
Audi;Q2L;;;;1;Germany
Audi;Q3;;;;1;Germany
Audi;"Q3 Sportback";;;;1;Germany
Audi;Q4;;;;1;Germany
