brand,model,year_from,year_to,country,is_popular
Acura,CDX,2016,2022,Japan,0
Acura,CL,1998,2003,Japan,0
Acura,EL,1997,2005,Japan,0
Acura,ILX,2012,2022,Japan,0
Acura,Integra,1995,2025,Japan,0
Acura,MDX,2001,2025,Japan,0
Acura,NSX,2001,2025,Japan,0
Acura,RDX,2006,2025,Japan,0
Acura,RL,1995,2012,Japan,0
Acura,RLX,2013,2021,Japan,0
Acura,RSX,2002,2006,Japan,0
Acura,TL,1999,2014,Japan,0
Acura,TLX,2014,2025,Japan,0
Acura,TLX-L,2018,2021,Japan,0
Acura,TSX,2003,2014,Japan,0
Acura,ZDX,2010,2013,Japan,0
"Alfa Romeo",146,1994,2001,Italy,0
"Alfa Romeo",147,1998,2010,Italy,0
"Alfa Romeo","147 GTA",2002,2010,Italy,0
"Alfa Romeo",156,1997,2007,Italy,0
"Alfa Romeo","156 GTA",2002,2007,Italy,0
"Alfa Romeo",159,2005,2011,Italy,0
"Alfa Romeo",166,1998,2007,Italy,0
"Alfa Romeo",4C,2013,2020,Italy,0
"Alfa Romeo","8C Competizione",2008,2010,Italy,0
"Alfa Romeo",Brera,2005,2010,Italy,0
"Alfa Romeo",Giulia,2016,2025,Italy,0
"Alfa Romeo",Giulietta,2010,2021,Italy,0
"Alfa Romeo",GT,2003,2020,Italy,0
"Alfa Romeo",GTV,1995,2006,Italy,0
"Alfa Romeo",MiTo,2008,2018,Italy,0
"Alfa Romeo",Spider,1998,2010,Italy,0
"Alfa Romeo",Stelvio,2017,2025,Italy,0
"Alfa Romeo",Tonale,2022,2025,Italy,0
"Aston Martin",Cygnet,2011,2013,UK,0
"Aston Martin",DB11,2016,2025,UK,0
"Aston Martin",DB12,2023,2025,UK,0
"Aston Martin",DB9,2004,2016,UK,0
"Aston Martin",DBS,2003,2012,UK,0
"Aston Martin","DBS 770 Ultimate",2023,2025,UK,0
"Aston Martin","DBS Superleggera",2018,2025,UK,0
"Aston Martin","DBS Violante",2007,2012,UK,0
"Aston Martin",DBX,2020,2025,UK,0
"Aston Martin",Rapide,2010,2019,UK,0
"Aston Martin","V12 Vanquish",2001,2008,UK,0
"Aston Martin","V12 Vantage",2010,2025,UK,0
"Aston Martin","V8 Vantage",2005,2007,UK,0
"Aston Martin",Valkyrie,2019,2020,UK,0
"Aston Martin",Valour,2023,2025,UK,0
"Aston Martin",Vanquish,2011,2018,UK,0
"Aston Martin",Vantage,2018,2025,UK,0
"Aston Martin",Virage,2011,2012,UK,0
"Aston Martin","Zagato Coupe",2016,2016,UK,0
Audi,A1,2010,2025,Germany,1
Audi,"A1 Allstreet",2022,2025,Germany,1
Audi,"A1 Citycarver",2019,2022,Germany,1
Audi,A2,2000,2006,Germany,1
Audi,A3,1996,2025,Germany,1
Audi,"A3 Allstreet",2024,2025,Germany,1
Audi,A4,1995,2025,Germany,1
Audi,"A4 Allroad Quattro",2009,2025,Germany,1
Audi,A5,2007,2025,Germany,1
Audi,A6,1998,2025,Germany,1
Audi,A7,2010,2025,Germany,1
Audi,A8,1994,2025,Germany,1
Audi,Allroad,2000,2011,Germany,1
Audi,e-tron,2019,2025,Germany,1
Audi,"e-tron GT",2020,2025,Germany,1
Audi,"e-tron S",2020,2025,Germany,1
Audi,"e-tron S Sportback",2020,2025,Germany,1
Audi,"e-tron Sportback",2020,2025,Germany,1
Audi,Q2,2016,2025,Germany,1
Audi,Q2L,2019,2025,Germany,1
Audi,Q3,2011,2025,Germany,1
Audi,"Q3 Sportback",2019,2025,Germany,1
Audi,Q4,2021,2025,Germany,1
Audi,"Q4 Sportback",2022,2025,Germany,1
Audi,Q5,2008,2025,Germany,1
Audi,"Q5 Sportback",2021,2025,Germany,1
Audi,Q6,2022,2025,Germany,1
Audi,"Q6 e-tron",2024,2025,Germany,1
Audi,Q7,2006,2025,Germany,1
Audi,Q8,2018,2025,Germany,1
Audi,"Q8 e-tron",2023,2025,Germany,1
Audi,"Q8 Sportback e-tron",2023,2025,Germany,1
Audi,R8,2006,2025,Germany,1
Audi,"RS e-tron GT",2021,2025,Germany,1
Audi,"RS Q3",2012,2025,Germany,1
Audi,"RS Q3 Sportback",2019,2025,Germany,1
Audi,"RS Q7",0,2025,Germany,1
Audi,"RS Q8",2019,2025,Germany,1
Audi,RS3,2011,2025,Germany,1
Audi,RS4,2005,2025,Germany,1
Audi,RS5,2010,2025,Germany,1
Audi,RS6,2002,2025,Germany,1
Audi,RS7,2013,2025,Germany,1
Audi,"S e-tron GT",2024,2025,Germany,1
Audi,S1,2014,2018,Germany,1
Audi,S3,2006,2025,Germany,1
Audi,S4,2003,2025,Germany,1
Audi,S5,2007,2025,Germany,1
Audi,S6,1999,2025,Germany,1
Audi,S7,2012,2025,Germany,1
Audi,S8,1996,2025,Germany,1
Audi,SQ2,2019,2025,Germany,1
Audi,SQ5,2012,2025,Germany,1
Audi,"SQ5 Sportback",2021,2025,Germany,1
Audi,"SQ6 e-tron",2024,2025,Germany,1
Audi,SQ7,2016,2025,Germany,1
Audi,SQ8,2019,2025,Germany,1
Audi,"SQ8 e-tron",2023,2025,Germany,1
Audi,"SQ8 Sportback e-tron",2023,2025,Germany,1
Audi,TT,1998,2025,Germany,1
Audi,"TT RS",2008,2025,Germany,1
Audi,TTS,2008,2025,Germany,1
Aurus,Senat,2021,2025,Other,0
Avatr,11,2022,2025,Other,0
Avatr,12,2023,2025,Other,0
BAIC,BJ40,2021,2025,Other,0
BAIC,"BJ40 Plus",2018,2025,Other,0
BAIC,"U5 Plus",2021,2025,Other,0
BAIC,X35,2020,2025,Other,0
BAIC,X55,2020,2025,Other,0
Bentley,Arnage,1999,2007,UK,0
Bentley,Azure,1999,2009,UK,0
Bentley,Bentayga,2015,2025,UK,0
Bentley,Brooklands,2008,2011,UK,0
Bentley,Continental,2003,2020,UK,0
Bentley,"Continental Flying Spur",2005,2013,UK,0
Bentley,"Continental GT",2011,2025,UK,0
Bentley,"Continental GTC",2011,2025,UK,0
Bentley,"Flying Spur",2013,2025,UK,0
Bentley,Mulsanne,2010,2020,UK,0
BMW,"1 series",2004,2025,Germany,1
BMW,"2 series",2013,2025,Germany,1
BMW,"3 series",1982,2025,Germany,1
BMW,"4 series",2013,2025,Germany,1
BMW,"5 series",1988,2025,Germany,1
BMW,"6 series",2004,2025,Germany,1
BMW,"7 series",1995,2025,Germany,1
BMW,"8 series",1990,2025,Germany,1
BMW,i3,2013,2025,Germany,1
BMW,i4,2021,2025,Germany,1
BMW,i5,2023,2025,Germany,1
BMW,i7,2022,2025,Germany,1
BMW,i8,2014,2020,Germany,1
BMW,iX,2021,2025,Germany,1
BMW,iX1,2022,2025,Germany,1
BMW,iX2,2024,2025,Germany,1
BMW,iX3,2020,2025,Germany,1
BMW,M2,2015,2025,Germany,1
BMW,M3,1992,2025,Germany,1
BMW,M4,2012,2025,Germany,1
BMW,M5,1998,2025,Germany,1
BMW,M6,2005,2025,Germany,1
BMW,M8,2019,2025,Germany,1
BMW,X1,2009,2025,Germany,1
BMW,X2,2017,2025,Germany,1
BMW,X3,2004,2025,Germany,1
BMW,"X3 M",2019,2025,Germany,1
BMW,X4,2014,2025,Germany,1
BMW,"X4 M",2019,2025,Germany,1
BMW,X5,2000,2025,Germany,1
BMW,"X5 M",2009,2025,Germany,1
BMW,X6,2008,2025,Germany,1
BMW,"X6 M",2009,2025,Germany,1
BMW,X7,2018,2025,Germany,1
BMW,XM,2023,2025,Germany,1
BMW,Z3,1996,2003,Germany,1
BMW,Z4,2002,2025,Germany,1
BMW,Z8,2000,2006,Germany,1
Brilliance,H230,2012,2019,Other,0
Brilliance,V3,2014,2020,Other,0
Brilliance,V5,2011,2020,Other,0
Bugatti,Chiron,2015,2022,France,0
Bugatti,Divo,2019,2021,France,0
Bugatti,Veyron,2005,2015,France,0
